,prompt_formality,prompt,prediction,language,model,size(B),id,formality,annotator,annotation_id,created_at,updated_at,lead_time
651,Neutral,There," are no items in your cart. If you choose to sign up today and get ""The 8 Week Guide to Financial Freedom,"" you will be the first to know.",en,XGLM,2.9,52.0,Formal,1.0,52.0,2022-12-27T11:39:06.092515Z,2022-12-27T11:39:06.092551Z,4.896
652,Formal,The relationship is still happening because neither of you have the courage to end things.," But the other person is doing the best they can so you should give them your support, but you should also be patient with them as they are in the same situation you are.",en,XGLM,2.9,53.0,Formal,1.0,53.0,2022-12-27T11:39:11.582903Z,2022-12-27T11:39:11.582941Z,5.247
653,Informal,"I ALWAYS FELT THE SAME WAY, BUT I MET MY TRUE LOVE AND MY VIEWS"," HAVE CHANGED.
SIR?
MR. STONE'S CANCELLED.
THAT IS A MAJOR DISTRACTION.
I WAS WONDERING IF HE WOULD SHOW.
NO, HE HAS NO PLAN TO COME IN.
I WOULD HAVE PREFERRED IF YOU HAD GIVEN ME AN EFFECTIVE SPOTTING.
I GOT A VERY GOOD SPOT, JACK.
CAN'T HE HEAR ME?
WHAT MAKES YOU THINK HE CAN'T HEAR ME?
IT'S EASIER TO SEE THAN HEAR.
MY ASSURANCE, SIR, WAS THAT HE WOULD SHOW.
WE SHOULD PULL THE PLUG.
THAT'S NOT A",en,BLOOM,7.1,54.0,Informal,1.0,54.0,2022-12-27T11:39:14.841048Z,2022-12-27T11:39:14.841080Z,2.997
654,Informal,ask her to go do something she is interested in or to see a movie, but do not tell her you are taking her. She will know you are rushing and feel like you are not really considering her and that it could hurt your feelings.,en,XGLM,7.5,55.0,Formal,1.0,55.0,2022-12-27T11:39:28.010350Z,2022-12-27T11:39:28.010389Z,12.9
655,Formal,"His or her intelligence, the way they carry themselves, good looks, and how active they"," are in the military.
The other girls are not necessarily interested in him because he’s not good looking, or because they’re not interested in intelligence. So it’s very easy to find girls in this area that are interested in you. But also, they’re not going to go anywhere near him. Because they’re not in his niche, you know what I mean?",en,BLOOM,7.1,56.0,Informal,1.0,56.0,2022-12-27T11:39:35.892042Z,2022-12-27T11:39:35.892081Z,7.621
656,Neutral,They, then show the group photos of everyone in attendance. There are just too many awesome photos! I am really happy to get to share a group photo with everyone again.,en,XGLM,2.9,57.0,Informal,1.0,57.0,2022-12-27T11:39:40.318244Z,2022-12-27T11:39:40.318285Z,4.171
657,Formal,I am confused and do not know what to do because I hate for the," dog to be in distress. It is only the second time in two years that the same problem has occurred.
The dog will get into her kennel that she prefers and then the door will close, but the dog is not contained in her kennel, the bottom of the door still has room, she will then pull against the door to get back into her kennel. So she gets into her kennel, then I open the door and she gets out into the living room. She comes up to me with her mouth agape, looks me straight in the eye and then goes back into her kennel where she is normally confined. I try to talk to her and she has this big snort and she is",en,BLOOM,7.1,58.0,Formal,1.0,58.0,2022-12-27T11:39:48.858962Z,2022-12-27T11:39:48.859001Z,8.297
658,Informal,Nay Pier is a great place or one of the museums....there r alot of great," food and eateries to try. And it is close to the beach.I rite now I am at the pier, and am walking to the beach, in hopes of getting a good picture of the beach.",en,BLOOM,7.1,59.0,Informal,1.0,59.0,2022-12-27T11:39:56.387942Z,2022-12-27T11:39:56.387981Z,7.288
659,Neutral,She,"'s the first to ever admit she might be a fraudster. The first to admit to knowing ""you can do it."" The first to admit her mother has killed her father.  had to have heard all this before she started coaching and training to become a professional surfer.",en,XGLM,2.9,60.0,Informal,1.0,60.0,2022-12-27T11:40:04.147562Z,2022-12-27T11:40:04.147588Z,7.519
660,Informal,"BE CONFIDENT,ALWAYS BELIEVE IN YOURSELF.DO NOT BE ARROGANT THOUGH.ALWAYS MAKE GOOD EYE CONTACT.LISTEN TO WHAT", PEOPLE SAY ABOUT YOU.WATCH FOR THE SYMPTOMS OF EMOTIONAL DISTRESS.DO NOT FALL ASLEEP.,en,XGLM,2.9,61.0,Informal,1.0,61.0,2022-12-27T11:40:08.634400Z,2022-12-27T11:40:08.634454Z,4.222
661,Formal,I asked him if he still liked me. He said he does but does not, know what it means anymore. His girlfriend told him about what happened with me to me on the phone and she said he is not sure about what he wants to do anymore. He said it is fine with him that we have sex and have fun but that nothing else will happen between us anymore.,en,XGLM,7.5,62.0,Formal,1.0,62.0,2022-12-27T11:40:15.919499Z,2022-12-27T11:40:15.919525Z,7.055
662,Neutral,There," are two kinds of questions that the two of you will likely be asking yourselves during the next few years.
Are you still going to love this person as much as you did when you first met? Or are you going to continue to see them as a person who’s become less desirable in your eyes?
My rule of thumb is this: I try not to lose someone I love. I try to keep my friends in order, and I try to only keep relationships that allow me to keep learning from the other person.
So, what’s your answer? If you’re still in a relationship you think you love, will you continue to date your lover for longer? Or will you pull back?
In the end, it all boils down to a word: commitment",en,BLOOM,7.1,63.0,Formal,1.0,63.0,2022-12-27T11:40:41.220587Z,2022-12-27T11:40:41.220633Z,25.037
663,Formal,"Asking her that question should not bother her, if you two are in a serious"," relationship, after all.
I think what she means to you is that she thinks that you should talk to someone who has an opinion about this matter. Your boyfriend certainly has, but it is something that should not get in the way of your relationship. There are lots of other ways you can communicate about this, so ask him out for a drink or a coffee or just go out and talk to someone that is in a similar position to you.
You are right. I did think that we just have a one night stand, but you really need to learn more about her, ask some questions, and maybe, after all the pain that she has gone through, she could be on the verge of starting over with a new boyfriend or maybe, even better",en,BLOOM,3.0,64.0,Formal,1.0,64.0,2022-12-27T11:40:53.821815Z,2022-12-27T11:40:53.821843Z,12.312
664,Informal,Nay Pier is a great place or one of the museums....there r alot of great," cafes and great bars to go to.
The Museum of Contemporary Art and the St. Louis Public Library are both interesting buildings to see.
I liked the St. Louis Public Library. It was in a good location, just a block from the train station, and had the best of modern and historic, and even postmodern buildings.
I'm glad you enjoyed visiting the city. If I ever decide to visit it again I would check out the Museums of St. Louis too. It's a very exciting city to explore!
I've loved the Museum of Contemporary Art too! It's been wonderful seeing your photos. It's always fun to see things different and different people have to see. I think you'll love St. Louis!
Hey! I know what you mean.",en,BLOOM,3.0,65.0,Informal,1.0,65.0,2022-12-27T11:41:04.526774Z,2022-12-27T11:41:04.526814Z,10.467
665,Formal,You should make sure that getting your point across does not result in her hating," you, because that would mean she would never speak to you again. When you ask her about her relationship, make it clear that you care about her but that she is more important for you, for whatever reason that makes you happy.
Sometimes, you will have to deal with the issue head on. This is the part that will determine the type of relationship you build. When you are getting in touch with your crush, do not try to have a heated conversation, you would do just the opposite. The one thing you should always have in mind is that you have no power over your crush. You are only being polite, you are just asking about her relationship. So, the answer she gives should not determine you.
There is no way to be",en,BLOOM,3.0,66.0,Formal,1.0,66.0,2022-12-27T11:41:31.883634Z,2022-12-27T11:41:31.883672Z,27.1
666,Neutral,Do," you want to go?
- No, go on.
- You go on.
- Let me.
Go on, give him something.
Give him the camera.
- No.
No, you're going.
- Come on, leave the film alone.
Stop shouting.
Stop it.
Just give him a camera.
I told you already, I'm just asking him if you want to go.
- Not now.
- No.
- Come on, I'll be right back.
- No.
Not now.
You're going.
- Yes.
- Come on.
- Please go on.
- Leave it alone.
- I really can't.
- Come on.
- No.
- Please.
Leave it alone.
Please.
- Come on.
- Please.
- Go on",en,BLOOM,7.1,67.0,Informal,1.0,67.0,2022-12-27T11:41:48.815874Z,2022-12-27T11:41:48.815914Z,16.695
667,Neutral,She," was on the phone,"" Kim says. ""We'd been driving on the interstate, and it was about 9:30 that night, and she had just seen a body in the road. And that body was somebody's baby, obviously a baby who was probably already dead when the officer saw it. And so this person had just put a body in the trunk of his car. And so the officer was supposed to just pull over and make sure that nobody had been in the car, and she pulls over behind that vehicle. And she looked up from the car, and it was a, it was a woman, and she was standing back out front of her car, and she had put her baby in the car that she was using to come home",en,BLOOM,3.0,68.0,Informal,1.0,68.0,2022-12-27T11:41:58.392843Z,2022-12-27T11:41:58.392870Z,9.337
668,Neutral,They," are known as “Oxyhydrosis”, a natural process that happens at temperatures ranging from 75 to 150 degrees Fahrenheit. The process involves liquid crystals inside coral in a continuous supply that prevent the crystals from forming into cells. If this process stops, a coral may begin to develop swarms of organisms that look like whale’s tooth comb. This is why corals have been nicknamed “tooth combs of the sea”.",en,XGLM,7.5,69.0,Formal,1.0,69.0,2022-12-27T11:42:03.511852Z,2022-12-27T11:42:03.511921Z,4.869
669,Neutral,He," wasn’t in school for the holidays, he was in prison.
Why?
 was with three other guys.
They put him on drugs and shot him.
 got out and found a girlfriend, got married and divorced her.
 was still addicted.
When he was arrested he had nowhere to go.
 ended up working in a diner.
I can’t believe this.
You think he did this?
’s already in prison for life.
And his mother is dead.
’s never going to be rehabilitated.
I can’t be in his life any more.
I’m sorry you have to live with that.
- How long were you in the park?
- For about an hour.
I parked the car when I was walking back.
What",en,BLOOM,3.0,70.0,Informal,1.0,70.0,2022-12-27T11:42:07.901728Z,2022-12-27T11:42:07.901768Z,4.138
670,Informal,ask her to go do something she is interested in or to see a movie,", and she will happily and excitedly make it happen! You can be assured she will love you!”
“It is important that our children have supportive teachers. My daughter is a shy kid. My husband, who is not a good teacher, couldn’t understand why. When I found out the teachers were there to help, I went to one of them and he explained her strengths and how to encourage her. He is a wonderful person. Now, my daughter talks to me about her teacher and I see her being excited to get to class. Thanks for the program!”
“The school was fantastic. I liked all the kids, but my daughter especially. She had to take classes in a different room than the rest of the",en,BLOOM,3.0,71.0,Informal,1.0,71.0,2022-12-27T11:42:14.450557Z,2022-12-27T11:42:14.450590Z,6.319
671,Formal,"You can say it, but only if you mean it. Also hold her hands, and", let her look into your eyes for a while. And then make her ask the question. If she says no she should say that he said yes. Then if you say yes then you know your getting the guy,en,XGLM,2.9,72.0,Informal,1.0,72.0,2022-12-27T11:42:21.741048Z,2022-12-27T11:42:21.741087Z,7.062
672,Formal,No offence but perhaps because your name is 'freakgirl' but if you were to show," up on Tinder or some place with a girl name like this you'd be instantly seen, no offense. You see the guy on Tinder will try and see if there is interest for whatever reason and if not they'll ask questions of you and maybe go on some date with you. It is very common for people to ask you a random question on Tinder and some people will respond with something like, ""oh I do not know, what would you like?"" or ""what do you do in your spare time?"" or ""who are your friends?""",en,BLOOM,3.0,73.0,Informal,1.0,73.0,2022-12-27T11:42:28.350409Z,2022-12-27T11:42:28.350448Z,6.332
673,Informal,"again, i know once u have sex with him, he is no longer a good"," guy to you, in my view.
So u have to learn to respect his boundaries and for them to do the same, and i hope you can do that.",en,BLOOM,3.0,74.0,Informal,1.0,74.0,2022-12-27T11:42:33.592897Z,2022-12-27T11:42:33.592937Z,5.002
674,Informal,"I really like this guy, and I don't know if it's just a crush, or"," if he is actually worth my time, but here it goes. I have noticed him walking into our house a lot lately. I have noticed him driving a little slower down the road, he has been watching me a lot when I go to and from work, and he has come over to our house when I've had people over.",en,XGLM,2.9,75.0,Informal,1.0,75.0,2022-12-27T11:43:40.471696Z,2022-12-27T11:43:40.471734Z,66.61
675,Informal,Giving it up just for him to stick around is like selling your soul to," the devil.
Well, I think we just sold our souls to the devil.
I'm not giving up his job.
He'll have another one.
All right?
Hey.
I got it.
- Okay.
- I'm good.
It's the third one on the left.
Okay.
Oh.
There.
You just found it.
All right.
It's not that hard.
No, it's not.
Yeah, it's not.
But you should get out there, man.
Yeah, you should.
Yeah, that's my girl.
- I'll be right there.
- Oh, God.
- All right.
- I'm going.
You be good.
Okay.
- Bye, honey.
- Bye.
- I'll see you guys.
- Bye-bye.
Thanks for the ride",en,BLOOM,7.1,76.0,Informal,1.0,76.0,2022-12-27T11:43:53.026033Z,2022-12-27T11:43:53.026074Z,12.28
676,Neutral,You, are commenting using your Twitter account.  are commenting using your Facebook account. Notify me of follow-up comments via email. Notify me of new posts via email.,en,XGLM,7.5,77.0,Incohesive,1.0,77.0,2022-12-27T11:43:58.928334Z,2022-12-27T11:43:58.928371Z,5.651
677,Informal,my cuzin met up with some wierd old perv saying he was a hot teen," boy and wanted to have sex with me, but i was never ready or had that experience with other guys. He said he was a hot teen boy and wanted to have sex with me so he could get me to talk to him and get into my pants",en,XGLM,7.5,78.0,Informal,1.0,78.0,2022-12-27T11:44:05.430262Z,2022-12-27T11:44:05.430301Z,6.235
678,Formal,The time elapsed equals more than six months and it seems I'm unable to move, onto the next chapter... I'm at the point where a lot of the stuff I said in the earlier posts seems overly complicated... I'm sure I'll figure it out eventually... It just seems too complicated for me. And it takes effort. I'll be starting to see where I'm going wrong. I'll figure out that I'm writing a book but I won't be able to go through it properly.,en,XGLM,2.9,79.0,Informal,1.0,79.0,2022-12-27T11:44:11.183000Z,2022-12-27T11:44:11.183032Z,5.488
679,Informal,WHY DOES EVERYONE SEEM TO WANT SOMEONE THAT THEY CAN'T HAVE AND KNOW THAT THEY," CAN'T HAVE?
OH MY GOD!
GO.
GO AND PLAY WITH YOUR BROTHER.
WHAT'S THAT?
MOTHER, NO!
COME ON.
GO.
GO AND PLAY WITH BOTH OF YOU.
GO.
GO AND PLAY WITH YOUR BROTHER.
WHAT'S THE MATTER WITH YOU?
YOU GUYS ARE A FUCKING PUPPY.
GO!
GO!
GO!
I'M NOT GONNA TAKE YOUR CHILDREN INTO MY HOUSE
TILL YOU GIVE ME SOME FUCKING GROWN-UPS.
IF YOU PRAY, YOU SAVE YOUR LIFE.
THAT'S RIGHT.
IF YOU PRAY, YOU SAVE YOUR LIFE.
GO.
GO PLAY WITH",en,BLOOM,3.0,80.0,Informal,1.0,80.0,2022-12-27T11:44:14.399378Z,2022-12-27T11:44:14.399418Z,2.955
680,Formal,Multiple times I have passed on a great opportunity by concerning myself about someone else.," My heart felt that it should be different. I felt wrong. And the thought of hurting the person. So I did what I thought would be right. I told him, I’m sorry.
I am very aware of my actions and I am very aware of my feelings. I think I would have been different if I had known the person. But I have not changed to get him back. I do think there is a difference between saying, I’m sorry, and taking a step back. I do think it is one of the better decisions that I have ever made.
I wish I was just learning to handle the loss. I don’t think that I want to do that. I want to be able to go on and get on with my life.",en,BLOOM,3.0,81.0,Informal,1.0,81.0,2022-12-27T11:44:54.011111Z,2022-12-27T11:44:54.011153Z,39.375
681,Formal,The only way you will know is if you confront him and ask him directly.," If you don’t ask, you will keep the whole thing on his word that nothing happened. It was an unfortunate accident. He would never lie.",en,XGLM,2.9,82.0,Formal,1.0,82.0,2022-12-27T11:45:02.279836Z,2022-12-27T11:45:02.279892Z,7.991
682,Informal,"if you are happy she should be happy, unless he really is being bad to"," her. If you are not happy about it, it would be best to address the issue right away to get it over and done with quickly. You should not keep silent, if you want your sister to be happy and have a good relationship with him.",en,XGLM,7.5,83.0,Formal,1.0,83.0,2022-12-27T11:45:54.182344Z,2022-12-27T11:46:03.248323Z,57.58
683,Formal,"As one gets older, keep getting younger and younger men, to make you feel better."," I was born, I am born to live and die, I'm proud to be an American! But for all his success, he has never forgotten who he is. You are the most amazing, beautiful, wonderful person of all, with your heart and mind.
They have all this experience that you can use in your own life as well. You are the most interesting, smartest, warmest, funniest person of all. All I want for Christmas is you!",en,BLOOM,3.0,84.0,Informal,1.0,84.0,2022-12-27T11:46:14.590090Z,2022-12-27T11:46:14.590148Z,6.055
684,Formal,"I became acquainted with a gentleman one time, romance galore. We first met amidst this"," very group. When we met, I didn't realize there were a lot of other men there. I was on the other side of the restaurant. Now that I'm talking about it, when a man looks good in person, when he's dressed well, and has a pretty smile and a pleasant demeanor, it's easy for a woman to overlook the guy behind the scene. I did that with him once, and it was awful!",en,XGLM,2.9,85.0,Informal,1.0,85.0,2022-12-27T11:46:21.571451Z,2022-12-27T11:46:21.571489Z,6.739
685,Neutral,He," was going to say
that I don't think I'll get out of this yet, because I can't
stand being alone again.
Look, if you really were my friend,
I wouldn't be in this condition, because we have been
talking ever since I got out of the water, and that's always
been a problem for me.
But I guess now that I'm getting older, and with my own
feeling about you I see that you really mean what you
say, and if you came back to me, and I took care of you, and
you were a good person I wouldn't ask you to stay alone
any more, so you see, I want you to come back to me.
I'm sorry I did it the way I",en,BLOOM,3.0,86.0,Informal,1.0,86.0,2022-12-27T11:46:29.039999Z,2022-12-27T11:46:29.040047Z,7.195
686,Informal,Oh and some because theyre thin and skinny and nowadays anorexic girls are a turn,"-on. Also the sex scene in the opening is hilarious as is the scene when she pulls off a black thong.
A few reviews I could find were critical of this, and there have been some negative reviews of the series on youtube and amazon, so I dont really want to post any of those negative reviews if I dont like them. This book was in my Amazon wishlist for a while.",en,BLOOM,3.0,87.0,Informal,1.0,87.0,2022-12-27T11:46:32.883022Z,2022-12-27T11:46:32.883062Z,3.548
687,Informal,That said u need to figure out youself if u want to stay married to," a woman who has 2 wards, kids, her life is totally different than yours. Im not saying u r a bad husband but i doubt you're good enough for her!",en,XGLM,7.5,88.0,Informal,1.0,88.0,2022-12-27T11:46:38.375186Z,2022-12-27T11:46:38.375211Z,5.223
688,Formal,You need to remain faithful to your husband. He is the one the you swore," to obey and honor forever!”
“In the case of infidelity, please let us know so that we can offer our support. If your husband is the one you are talking about, you can reach out to them directly. If not, please reach out to an agency that works with women in the same situation. You may want to reach out to your local pastor, as well.”
Thank you for your support. You can view more tips for women who are suffering from the consequences of adultery here. Please share if you find this helpful.
I thought the video was great. I hope that a lot of women will get to see this message. I am in a similar situation, and I would like some support.
I love",en,BLOOM,3.0,89.0,Informal,1.0,89.0,2022-12-27T11:47:22.876385Z,2022-12-27T11:47:22.876415Z,44.245
689,Formal,How much time must pass before you can decide it consumes too much time and," if you should spend a different approach to do it? A very long time it takes and is not suitable for all people. So, how do you tell if the project you started needs some new perspective? We’re talking about the time management of small projects. They are usually the fastest-growing projects in any organization and they require attention at every moment.",en,XGLM,2.9,90.0,Formal,1.0,90.0,2022-12-27T11:47:32.221905Z,2022-12-27T11:47:32.221943Z,9.114
690,Neutral,This, page was created in 0.406 seconds. _ 521 queries. _ CSV _ API. _ Privacy Policy. _ Contact.,en,XGLM,7.5,91.0,Incohesive,1.0,91.0,2022-12-27T11:47:36.892248Z,2022-12-27T11:47:36.892286Z,4.417
691,Formal,Even though I see him each week in PSR I can not find the courage, to say anything so much as a hello so I can be polite. I am afraid to confront him on what we are up to. I am so scared to do so he will know and I will be shunned by my friends. I am also afraid to tell him that I have no interest in dating other men. He is a great guy and I could never hurt him but the thought of the possibility scares me to death. I am wondering what you think would be the best way to handle this situation. It may be too late now but you never know.,en,XGLM,7.5,92.0,Informal,1.0,92.0,2022-12-27T11:47:45.107408Z,2022-12-27T11:47:45.107467Z,7.946
692,Neutral,They,"’re not going to just stop trying to do something,” said Mr. Taylor of a campaign to change Ohio’s public university system. “We’ve got to get the numbers right, and not just make a couple of changes.”",en,BLOOM,7.1,93.0,Informal,1.0,93.0,2022-12-27T11:49:38.302861Z,2022-12-27T11:49:38.302893Z,112.936
693,Informal,"i'd ask you out, but i live in Oregon and have no idea where you"," are from.
I'm not saying I wouldn't do that.
That'd be the last time.
But I'm not here for you.
What do you say you join me up to my room?
I'll get you something to drink.
I should go.
Wait.
You said you wanted to know where I was from?
I was just curious.
Yeah, I'm sure I was.
You don't have to answer, just say no.
No.
I'm sorry.
I'll try not to say it again.
I know what I was going to say.
If you want to leave me, you can.
I won't tell anyone.
It is all right.
I was just curious.
Well, as a friend, I wanted to make sure everything was all right.
You know, I",en,BLOOM,3.0,94.0,Informal,1.0,94.0,2022-12-27T11:49:41.481466Z,2022-12-27T11:49:41.481496Z,2.858
694,Neutral,There, is no such function call but there is a pointer to a function with the same prototype that is initialized. This happens with auto_ptr when you initialize to nullptr because it is technically not safe to create the copy because it will still refer to the original.,en,BLOOM,3.0,95.0,Formal,1.0,95.0,2022-12-27T11:49:47.562152Z,2022-12-27T11:49:47.562191Z,5.823
695,Neutral,We," know the answer to every problem, because we have worked in your shoes. Areas of expertise:
Our goal is to provide high quality services at an affordable price and keep you and your family healthy.
 will do all we can to help you.  promise to take care of your insurance bill and to keep you informed about your diagnosis and treatment.
One of the most common questions that patients have at our office is, ""What are the benefits of a dual-contrast ultrasound?"" The answer is: it is an excellent method for diagnosing pelvic conditions. It is also very effective for detecting ovarian cysts. A dual-contrast ultrasound utilizes ultrasound waves in both B-mode and an advanced color Doppler imaging system for examination of",en,BLOOM,7.1,96.0,Formal,1.0,96.0,2022-12-27T11:50:33.304052Z,2022-12-27T11:50:33.304098Z,45.46
696,Neutral,They," could be going down the river but there are no other possible paths.
The woman doesn't speak English.
She's a thief.
-What?
- The woman, the thief?
-Yes, the woman.
- No, no, that's impossible.
You are so right!
How can she be a thief?
It's not possible, she's just... a thief.
She stole the package?
Do you think she wanted to rob me?
No, she just came to steal it.
You see, she can see past your eyes.
She sees that you are alone.
She sees your desperation, your anguish.
She sees that you do not believe in yourself.
She sees your pain and she knows that what you need is some kind of comfort.
She could give",en,BLOOM,7.1,97.0,Informal,1.0,97.0,2022-12-27T11:50:37.084817Z,2022-12-27T11:50:37.084855Z,3.519
697,Neutral,The," general question we are trying to answer is: what is the minimum number of training patterns that can be obtained from a small number of training cases so that the results will not differ for similar patterns? In other words, is there a threshold for the number of training cases that the system should contain to capture the behavior of the system at the optimal accuracy and stability level? We have performed several series of experiments with our pattern recognition system.
 results of the experiments are given in Section 4.  paper ends with some general remarks about the possible advantages of our system.
Experimental Setup
 experiments were performed on a Silicon Graphics workstation running Sun's Ultra Sparc IV processors. We used the Sun SPARC Data Language, which has a limited memory capability.",en,BLOOM,3.0,98.0,Formal,1.0,98.0,2022-12-27T11:50:43.161733Z,2022-12-27T11:50:43.161777Z,5.819
698,Formal,You need to remain faithful to your husband. He is the one the you swore," to uphold, and the one you loved. You are his to protect, and be strong as he is. You have a choice, and if you are not strong in your husband’s eyes, then this will be a good time to ask for the help of a trusted friend in counseling to guide you.",en,XGLM,2.9,99.0,Formal,1.0,99.0,2022-12-27T11:50:49.063976Z,2022-12-27T11:50:49.064014Z,5.642
699,Neutral,I," will never be able to stop this, from any of you.
But if  must die and become a weapon  want to make sure, that it is me, who sends the message.
What?
The bomb was an experiment, with a small chance of success.
- You think it was all part of a plan?
- An attempt to save a nation.
You mean us?
 intend to carry this baby to full term.
When this child is born,  intend to kill it.
My government will not hesitate to act and, therefore,  must do so too.
When  find out my son is alive,  will have him killed and all traces destroyed.
f you do not stop me...
 must leave now.
Go, Olivia",en,BLOOM,7.1,100.0,Informal,1.0,100.0,2022-12-27T11:50:53.518320Z,2022-12-27T11:50:53.518359Z,4.177
700,Informal,"i'd ask you out, but i live in Oregon and have no idea where you"," live, and i don't have a car.
Okay, so don't tell her.
And just make sure that your shirt looks nice when you go out with her, and don't drink any more than you need to.
Okay.
- Bye.
- Bye, bye.
I'm serious, it's good to know that someone is interested in me.
Well, it's not anyone that I know, but i'll get you a date.
What if you don't want a date?
What?
What if you don't want to go out with somebody because you're dating your brother?
Come on.
If he had to come back from Europe, he wouldn't come back with you.
Yeah, but he wouldn't have to go.
But if he'd had to go, then he would have.
No",en,BLOOM,7.1,101.0,Informal,1.0,101.0,2022-12-27T11:50:57.276956Z,2022-12-27T11:50:57.277001Z,3.513
701,Formal,"You sound live a very lovely person, so do not allow these women to make", you feel bad about yourself. It is not worth the pain. The worst thing is that you would have a bad relationship and not find out that someone cheated on you with their ex.,en,BLOOM,7.1,102.0,Formal,1.0,102.0,2022-12-27T11:51:03.851017Z,2022-12-27T11:51:03.851058Z,6.336
702,Neutral,They," can only make up their minds after the performance is over, if it’s the sort that takes place over a two or three-year period.
“Some critics were going to be left quite upset,” he added. “But I think that it’s still going to be fun for us to play what we really feel is good music.”
To the point that I don’t think “we” are quite the same as you and me are now, as it might not be a thing for me. The other day in a TV interview I saw the person, in the middle of his presentation, turn off the mike, which is something I always find very distasteful in other people. So to hear people being rude and uncouth isn’t too different",en,BLOOM,7.1,103.0,Informal,1.0,103.0,2022-12-27T11:52:07.015742Z,2022-12-27T11:52:07.015799Z,62.93
703,Neutral,This," is the problem that I'm facing. The values are changed to show the value of the selected option, but the id of the option in the select remains unchanged. Any idea?
HTML code of a dropdown:
$.fn.dropdown = function dropdown_fn_create_dropdown_option_values_and_labels_and_html_options_subj_according_to_selected_id_option_values_subj_and_html_options_all_subjs_subjs_of_all_selected_ids_in_all_option_values_subjs_subjs_wo_and_option_values_subjs_wo_and_html_options_wo_subjs_wo_subjs_of_all_selected_ids_in_all_option_values_subjs_subjs_wo_and_option_values_subjs_wo_and_html_options_wo_subjs_wo_sub",en,BLOOM,7.1,104.0,Informal,1.0,104.0,2022-12-27T11:54:22.380339Z,2022-12-27T11:54:22.380368Z,135.073
704,Informal,"I like him and he says stuff like, if i weren't dating _ i would"," have ended this relationship months ago. I had a feeling he was lying. And i didn't want to be a fool. So i was honest with him, and told him i was afraid. He said that it was the same for him, so we were friends again. And we have been friends for about 3 months now. We talk online, skype, etc. And i have to admit, he's pretty awesome.",en,XGLM,7.5,105.0,Informal,1.0,105.0,2022-12-27T11:54:28.348177Z,2022-12-27T11:54:28.348219Z,5.707
705,Neutral,They,"’re already here, or they can be as soon as the morning comes. The swift boats will pick up your belongings at 9 a.m.; you’ll leave a week after they arrive.",en,XGLM,2.9,106.0,Informal,1.0,106.0,2022-12-27T11:54:36.637559Z,2022-12-27T11:54:36.637592Z,8.022
706,Informal,After how much time can you conclude that it takes too long and she isn't," getting a job? Maybe she isn't. At least, I can't. I just don't have a clue. It's as if she is waiting for something... something that's never going to happen.",en,XGLM,7.5,107.0,Informal,1.0,107.0,2022-12-27T11:54:40.312527Z,2022-12-27T11:54:40.312558Z,3.458
707,Formal,"Do not even listen to what any person says, watch the way that they act."," When you see that they are doing something wrong, let it out through their actions, not words. And if you can't do it through your actions, try to get them to do it through words. Even if you're not sure how to say something in a way that will be accepted, try to do it anyway. It is better to ask forgiveness and have someone say sorry, than to carry a grudge.",en,XGLM,2.9,108.0,Formal,1.0,108.0,2022-12-27T11:54:50.478255Z,2022-12-27T11:54:50.478297Z,9.902
708,Formal,Men pretend to love in order to have intercourse; women pretend to enjoy intercourse in," order to love. In this way it is possible for lovers to exist together in the midst of their hostility, their suspicion, and their jealousy. This is why you may find couples in many ways more comfortable with each other than they are with themselves. So too does the sexual connection, the eroticism, take place far below, in the most intimate and secret areas of the brain. This connection must be very intimate and direct if love is to be the central goal of sexuality. If sexuality is simply to be a means for the physical and psychic reproduction of man, the sexual relationship that is established must be as casual as possible, in order that it can be broken up as easily as possible.
In my opinion, we",en,BLOOM,7.1,109.0,Informal,1.0,109.0,2022-12-27T11:55:07.093640Z,2022-12-27T11:55:07.093672Z,16.345
709,Formal,You have do decide whether you want to spend the rest of your life with, a guy who won’t do anything to earn some extra dough or with one who will be all for it. I do wonder though if it will be hard for you to be with a guy who will treat you like a queen and make you feel like you are special.,en,XGLM,2.9,110.0,Informal,1.0,110.0,2022-12-27T11:55:26.094757Z,2022-12-27T11:55:26.094790Z,6.125
710,Neutral,There," are two reasons why the literature is unclear about the effect of trade liberalization on growth and poverty. First, most of the studies considered developed countries only, with some of them considering a few developing countries only. The studies that considered more than a few countries can be grouped into two types: studies on developed countries and studies on some specific developing countries. An overview of the studies on developed countries and studies on specific developing countries is given in Table 1. As can be seen, there is no consensus on the effect of trade liberalization on growth and poverty.
In general, the literature provides somewhat mixed evidence on the effects of trade liberalization. For example, Rodrik and Velasco 9 argued that trade liberalization did not always improve welfare. Moreover, they",en,BLOOM,7.1,111.0,Formal,1.0,111.0,2022-12-27T11:55:53.229104Z,2022-12-27T11:55:53.229156Z,26.848
711,Informal,"the people who are around you now, like your friends, should like you no matter"," what your age is. if you have a couple of friends, it is possible that some of them will still like you, even if you are 50 or 60 years old. so the only thing you should care about is being a healthy and happy person, regardless of your age.",en,XGLM,7.5,112.0,Formal,1.0,112.0,2022-12-27T11:56:02.055812Z,2022-12-27T11:56:02.055846Z,8.568
